data,includes,matching_rules
"{'author_id': '967154468', 'edit_history_tweet_ids': ['1603184696787369984'], 'geo': {}, 'id': '1603184696787369984', 'text': 'RT @rodrigo_sciutto: ❌NO AUTORIZO❌\n\n❌NO AUTORIZO A QUE FRANCIA GANE LA FINAL DEL MUNDIAL ❌\n\nCOMPARTE EN TU MURO SI NO AUTORIZAS'}","{'users': [{'id': '967154468', 'name': 'franco', 'username': 'FrancoVeliz_'}, {'id': '810911002560724992', 'name': 'siu.uto', 'username': 'rodrigo_sciutto'}]}","[{'id': '1603160755783827468', 'tag': ''}, {'id': '1603156582275194881', 'tag': ''}, {'id': '1603160739908407299', 'tag': ''}, {'id': '1603160744962424832', 'tag': ''}]"
"{'author_id': '707358727817588736', 'edit_history_tweet_ids': ['1603184695356919809'], 'geo': {}, 'id': '1603184695356919809', 'text': '@AlvaroUribeVel Lo que sugiere es que el ministro debe ir contra el plan nacional y realizar lo que el desee sin que ello contribuya al bienestar del país. Ok, cada vez más cerca de un golpe de estado. Ahora, me imagino que sus ministros realizaron lo que sus palabras sugieren, ¿Cierto?'}","{'users': [{'id': '707358727817588736', 'name': 'Cesar P', 'username': 'cgparamoa'}, {'id': '61097151', 'name': 'Álvaro Uribe Vélez', 'username': 'AlvaroUribeVel'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1554209341347078144', 'edit_history_tweet_ids': ['1603184694404984832'], 'geo': {}, 'id': '1603184694404984832', 'text': '@the_marcoli_boy He did not nothing'}","{'users': [{'id': '1554209341347078144', 'name': 'zama34', 'username': 'zama344'}, {'id': '1267067442884481027', 'name': 'Twilight', 'username': 'the_marcoli_boy'}]}","[{'id': '1603160750108938240', 'tag': ''}]"
"{'author_id': '1417709275577831430', 'edit_history_tweet_ids': ['1603184696883838977'], 'geo': {}, 'id': '1603184696883838977', 'text': 'vuelve nahueeel y todo es FELICIDATTTTT'}","{'users': [{'id': '1417709275577831430', 'name': '𝑷𝒂𝒖𝒍𝒊', 'username': 'oortegapau'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '968480128996200451', 'edit_history_tweet_ids': ['1603184694790881280'], 'geo': {}, 'id': '1603184694790881280', 'text': 'RT @PatoBullrich: Presidente: la razón de la decadencia argentina se explica por su brutal negación de la realidad. Perdió la oportunidad y…'}","{'users': [{'id': '968480128996200451', 'name': 'María Moreno', 'username': 'MaraMor29938090'}, {'id': '54414081', 'name': 'Patricia Bullrich', 'username': 'PatoBullrich'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1592456705643876357', 'edit_history_tweet_ids': ['1603184693939429376'], 'geo': {}, 'id': '1603184693939429376', 'text': 'Bsffr, be so fucking fr https://t.co/FGvEI5cDXI'}","{'users': [{'id': '1592456705643876357', 'name': 'Aaron', 'username': 'Uhtonical'}, {'id': '1506953160266752011', 'name': 'Invis🍒', 'username': 'invis4yo'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
"{'author_id': '1522118654149947392', 'edit_history_tweet_ids': ['1603184695675699202'], 'geo': {}, 'id': '1603184695675699202', 'text': '@RND_de Laiengedanke: Könnte es eventuell mit einem kaputten Immunsystem nach drei Jahren Null COVID zu tun haben???'}","{'users': [{'id': '1522118654149947392', 'name': 'Das Ding aus einer anderen Welt', 'username': 'Le_urig'}, {'id': '2885573171', 'name': 'RND', 'username': 'RND_de'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1176361442838290432', 'edit_history_tweet_ids': ['1603184696619589632'], 'geo': {}, 'id': '1603184696619589632', 'text': 'RT @12Maibj: Motivos por los que Argentina merece ser campeón mundial👇🏻🇦🇷\n\n[ABRO HILO]'}","{'users': [{'id': '1176361442838290432', 'name': '𝔸𝕃𝔼𝕏𝔸ℕ𝔻𝔼ℝ💙', 'username': '111ALE111'}, {'id': '1445441331887751172', 'name': 'mai', 'username': '12Maibj'}]}","[{'id': '1603160755783827468', 'tag': ''}, {'id': '1603160744962424832', 'tag': ''}]"
"{'author_id': '1438080018454777858', 'edit_history_tweet_ids': ['1603184694085812224'], 'geo': {}, 'id': '1603184694085812224', 'text': 'RT @alfredodelmazo: Son las amas de casa quienes siempre se esfuerzan por darle lo mejor a sus familias. Por eso el #SalarioRosa es para us…'}","{'users': [{'id': '1438080018454777858', 'name': 'Yaret González', 'username': 'YaretGoAn10'}, {'id': '39860797', 'name': 'Alfredo Del Mazo', 'username': 'alfredodelmazo'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1169459780928397313', 'edit_history_tweet_ids': ['1603184695054725120'], 'geo': {}, 'id': '1603184695054725120', 'text': '@ALEXanro65 ...y yo sin vacunarme ajajjaja vaya panda de asustadores profesionales'}","{'users': [{'id': '1169459780928397313', 'name': 'CALORCITO NOCTURNO ""REGRESA""', 'username': 'Superpalankin1'}, {'id': '1486073736914780165', 'name': 'Pequeño Alex3.', 'username': 'ALEXanro65'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
