data,includes,matching_rules
"{'author_id': '1602479194826452992', 'edit_history_tweet_ids': ['1603818729556803584'], 'geo': {}, 'id': '1603818729556803584', 'text': 'Una de mis playlist es el soundtrack de la casa de las flores'}","{'users': [{'id': '1602479194826452992', 'name': 'su madre', 'username': 'ikipiuqaj'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1141009177', 'edit_history_tweet_ids': ['1603818731062169600'], 'geo': {}, 'id': '1603818731062169600', 'text': '@pedropcelis Es increible, vaya sinverguenza.'}","{'users': [{'id': '1141009177', 'name': 'jldiasahun', 'username': 'patuspatus'}, {'id': '1458192955', 'name': 'Pedro Pineda Celis', 'username': 'pedropcelis'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1570478605838290945', 'edit_history_tweet_ids': ['1603818729191616513'], 'geo': {}, 'id': '1603818729191616513', 'text': 'RT @IndirectasRock: Un dpto, un título, un auto y un perro ese es mi sueño.'}","{'users': [{'id': '1570478605838290945', 'name': 'Micaela Santos', 'username': 'Micaela63S'}, {'id': '2210865044', 'name': 'I N D I R E C T A S', 'username': 'IndirectasRock'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '137532573', 'edit_history_tweet_ids': ['1603818731037229062'], 'geo': {}, 'id': '1603818731037229062', 'text': '@SoyAdriFlores Juan guaido'}","{'users': [{'id': '137532573', 'name': 'jairo galindez', 'username': 'maracaibobig'}, {'id': '92007699', 'name': 'Adriana Flores', 'username': 'SoyAdriFlores'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '258921593', 'edit_history_tweet_ids': ['1603818730944962561'], 'geo': {}, 'id': '1603818730944962561', 'text': 'RT @jgodoym: Por cierto, en @ensustrece Felix Chero revela que Castillo quería indultar a Alberto Fujimori y si no se hizo es porque el sát…'}","{'users': [{'id': '258921593', 'name': 'Kevin Zavaleta Ch.', 'username': 'KevinZavCh'}, {'id': '5418002', 'name': 'Jose Alejandro Godoy', 'username': 'jgodoym'}, {'id': '124843312', 'name': 'Semanario Hildebrandt en sus trece', 'username': 'ensustrece'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '343483008', 'edit_history_tweet_ids': ['1603818732014501890'], 'geo': {}, 'id': '1603818732014501890', 'text': 'This is click bait smh https://t.co/prxeBlbMDE'}","{'users': [{'id': '343483008', 'name': 'Sir Franco', 'username': 'DFranco214'}, {'id': '18091004', 'name': 'ESPN FC', 'username': 'ESPNFC'}]}","[{'id': '1603160750108938240', 'tag': ''}]"
"{'author_id': '1226077020947394561', 'edit_history_tweet_ids': ['1603818730483482632'], 'geo': {}, 'id': '1603818730483482632', 'text': 'RT @Bruna_Annika: 🖋Alors que l’interdiction totale du broyage et du gazage des poussins mâles était prévue au 1er janvier 2023, un arrêté p…'}","{'users': [{'id': '1226077020947394561', 'name': 'La Reine de Coeur', 'username': 'LaReinedeCoeur2'}, {'id': '1181640265464983552', 'name': 'Annika Bruna', 'username': 'Bruna_Annika'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
"{'author_id': '1574444653079928833', 'edit_history_tweet_ids': ['1603818730886160384'], 'geo': {}, 'id': '1603818730886160384', 'text': 'RT @OpinionLSR: Es necesario que gente como Alejandro Moreno (Alito) sea desterrado por su alto cinismo como político, al revelarse su form…'}","{'users': [{'id': '1574444653079928833', 'name': 'Marianne Prado', 'username': 'MariannePrado9'}, {'id': '4916960534', 'name': 'Opinión La Silla Rota', 'username': 'OpinionLSR'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1316229136009113602', 'edit_history_tweet_ids': ['1603818727858114560'], 'geo': {}, 'id': '1603818727858114560', 'text': '@Abraham_A18 @fierita1978 @5zambranocz Jaja celebras un partido q no t t dió nada en mi cancha? Jajajaja no digo q eres chiquito pa tener un partido q no t dio nada jajajaja yo te gane en tu watutero y no hice escandalo bidescendido, bueno eso no es novedad jajaja solo tu papá puede dar la vuelta en la cancha del otro https://t.co/vT9b2DTWo1'}","{'users': [{'id': '1316229136009113602', 'name': 'Zacarias', 'username': 'RProano'}, {'id': '1969904070', 'name': 'Abraham', 'username': 'Abraham_A18'}, {'id': '1055491257336823810', 'name': 'Renato Sergio Añacata Castillo', 'username': 'fierita1978'}, {'id': '934252460', 'name': 'Carlos Zambrano', 'username': '5zambranocz'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1443222604110868487', 'edit_history_tweet_ids': ['1603818729401626624'], 'geo': {}, 'id': '1603818729401626624', 'text': 'Jouez et tentez de gagner une tablette Apple iPad 9 en participant au jeu concours Rakuten https://t.co/AHjDw9qvS2'}","{'users': [{'id': '1443222604110868487', 'name': 'Chevallereau Isabelle', 'username': 'isabelledu17'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
