data,includes,matching_rules
"{'author_id': '1544683171', 'edit_history_tweet_ids': ['1603176914373550089'], 'geo': {}, 'id': '1603176914373550089', 'text': 'RT @LaBrujinetaOk: 💥IMPORTANTE💥 \ndesde la brujineta no recomendamos congelar a francia , ya que sus jugadores están protegidos por entidade…'}","{'users': [{'id': '1544683171', 'name': '💚', 'username': 'charipedia'}, {'id': '1601409770895843328', 'name': 'LaBrujinetaOK', 'username': 'LaBrujinetaOk'}]}","[{'id': '1603156582275194881', 'tag': ''}, {'id': '1603160739908407299', 'tag': ''}, {'id': '1603160750108938240', 'tag': ''}]"
"{'author_id': '118558352', 'edit_history_tweet_ids': ['1603176913824272385'], 'geo': {}, 'id': '1603176913824272385', 'text': '@elsolonline Alberto ya fue el drama es qué no queda político de confianza. Todos un desastre'}","{'users': [{'id': '118558352', 'name': 'Ricardo Muñoz', 'username': 'urielalejo'}, {'id': '36089412', 'name': 'Diario El Sol Mza', 'username': 'elsolonline'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1328026235537137665', 'edit_history_tweet_ids': ['1603176913236811777'], 'geo': {}, 'id': '1603176913236811777', 'text': '@csswstt como si usted no me trata muchísimo peor bañaso'}","{'users': [{'id': '1328026235537137665', 'name': 'rei 🤍', 'username': 'reiiramirez_'}, {'id': '1445097519537692680', 'name': 'cass', 'username': 'csswstt'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1033402032785444866', 'edit_history_tweet_ids': ['1603176915392925696'], 'geo': {}, 'id': '1603176915392925696', 'text': 'RT @c_eterry: @Alm_Montoya este bufón y el otro narneritos de cartón  no se han dado cuenta que hace rato son  CADAVERES POLÍTICOS con CERO…'}","{'users': [{'id': '1033402032785444866', 'name': 'Sagitarius', 'username': 'JuanaGladys1'}, {'id': '1122246302195232768', 'name': 'Carlos Terry', 'username': 'c_eterry'}, {'id': '1376956609', 'name': 'Jorge Montoya 🇵🇪⚓️', 'username': 'Alm_Montoya'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1132419274365120527', 'edit_history_tweet_ids': ['1603176913224323074'], 'geo': {}, 'id': '1603176913224323074', 'text': '@JoseHoracioR Es un malagradecido @MorenoGuillermo no hizo gente al hacerlo @DiputadosRD y no bien se juramenta y ya al otro día estaba formando su propio partido @O_Democratica https://t.co/6XPM9swsUO'}","{'users': [{'id': '1132419274365120527', 'name': 'Adamantius#UNT', 'username': 'RuddysTineo'}, {'id': '82776856', 'name': 'José Horacio Rodríguez', 'username': 'JoseHoracioR'}, {'id': '53966294', 'name': 'Guillermo Moreno', 'username': 'MorenoGuillermo'}, {'id': '377641878', 'name': 'Cámara de Diputados de la República Dominicana', 'username': 'DiputadosRD'}, {'id': '1072193160107966465', 'name': 'Opción Democrática', 'username': 'O_Democratica'}, {'id': '3316539307', 'name': 'Damaris Patrocinio💙💙🇩🇴🇩🇴', 'username': 'DamarisPatrocin'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1129957774287413253', 'edit_history_tweet_ids': ['1603176914000437248'], 'geo': {}, 'id': '1603176914000437248', 'text': 'Para mi no es intimidante o incomodo hablar de un tema que desconozco porque automaticamente entro en modo pregunton.'}","{'users': [{'id': '1129957774287413253', 'name': 'Melky', 'username': 'MelkyOconn'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '798772969698824192', 'edit_history_tweet_ids': ['1603176916281954305'], 'geo': {}, 'id': '1603176916281954305', 'text': '@AlvaritoMorales Este subnormal tiene problemas serios debes tomarte la pastilla y acostarte bufón de 5a'}","{'users': [{'id': '798772969698824192', 'name': 'Nano Garcia Music', 'username': 'NanoGarciaMusic'}, {'id': '29644515', 'name': 'Álvaro Morales', 'username': 'AlvaritoMorales'}]}","[{'id': '1603156582275194881', 'tag': ''}, {'id': '1603160739908407299', 'tag': ''}]"
"{'author_id': '390952351', 'edit_history_tweet_ids': ['1603176913484353536'], 'geo': {}, 'id': '1603176913484353536', 'text': 'No puedo creer que este año me sucediera tanta mierda a nivel personal, pero jamás a nivel laboral, gracias universo algo es algo✨'}","{'users': [{'id': '390952351', 'name': 'Daniela Torres', 'username': 'Danitr05'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1479622975150342147', 'edit_history_tweet_ids': ['1603176916202278915'], 'geo': {}, 'id': '1603176916202278915', 'text': '@Ori_cau22 SU VIEJO CAMERUNEEES'}","{'users': [{'id': '1479622975150342147', 'name': 'maxi.godoy', 'username': 'maxigoodoy'}, {'id': '1480670239696297984', 'name': 'Ori🇫🇮²²', 'username': 'Ori_cau22'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1332553766273421312', 'edit_history_tweet_ids': ['1603176916453916673'], 'geo': {}, 'id': '1603176916453916673', 'text': '@kekerackzz onggg 😭😭😭😭'}","{'users': [{'id': '1332553766273421312', 'name': 'golden child ⭐️', 'username': 'thegoIdenchild'}, {'id': '1568257635010445312', 'name': 'kekerackzz', 'username': 'kekerackzz'}]}","[{'id': '1603160765216743425', 'tag': 'lang'}]"
