data,includes,matching_rules
"{'author_id': '1387888660037648388', 'edit_history_tweet_ids': ['1603183417759260672'], 'geo': {}, 'id': '1603183417759260672', 'text': '@GuidoBellidoU ...es tarde Puka'}","{'users': [{'id': '1387888660037648388', 'name': 'betocuzco', 'username': 'betocuzco'}, {'id': '748199401093537793', 'name': 'Guido Bellido Ugarte', 'username': 'GuidoBellidoU'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1259619758036697089', 'edit_history_tweet_ids': ['1603183416698015745'], 'geo': {}, 'id': '1603183416698015745', 'text': 'RT @Ferantonia28: --No olvidar jamás :) @gabrielboric\ncuando era  diputado viajó a Francia,se fue a reunir  con un asesino terrorista, Palm…'}","{'users': [{'id': '1259619758036697089', 'name': 'WaterForce', 'username': 'WaterForce3'}, {'id': '1241796531470114816', 'name': 'Fernanda', 'username': 'Ferantonia28'}, {'id': '73981088', 'name': 'Gabriel Boric Font', 'username': 'gabrielboric'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}, {'id': '1603156582275194881', 'tag': ''}, {'id': '1603160739908407299', 'tag': ''}]"
"{'author_id': '29990928', 'edit_history_tweet_ids': ['1603183414655741952'], 'geo': {}, 'id': '1603183414655741952', 'text': 'RT @marielita_fb: Estoy en la casa que me crié con mis abuelos que construyeron dos veces después de los terremotos, mi Mamita esta decoran…'}","{'users': [{'id': '29990928', 'name': 'Andreita Zulay', 'username': 'anzupr'}, {'id': '178494269', 'name': 'MarielitaFalcones♥', 'username': 'marielita_fb'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1595525960710905868', 'edit_history_tweet_ids': ['1603183415120961536'], 'geo': {}, 'id': '1603183415120961536', 'text': 'RT @ubch_emiliocgue: #RT @NicolasMaduro: RT @NicolasMaduro: Como pueblo revolucionario, Venezuela ratifica plenamente su compromiso con el…'}","{'users': [{'id': '1595525960710905868', 'name': 'Iriannys paez', 'username': 'IriannysPaez'}, {'id': '1303762194304249856', 'name': 'UBCH Emilio Constantino Guerrero', 'username': 'ubch_emiliocgue'}, {'id': '1252764865', 'name': 'Nicolás Maduro', 'username': 'NicolasMaduro'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1481573667695906816', 'edit_history_tweet_ids': ['1603183414818967552'], 'geo': {}, 'id': '1603183414818967552', 'text': 'Para nada conmigo pero como que lleva 3/4 canciones nuevas de este año haciendo algo totalmente distinto a lo que venía haciendo y es que rompió demaaasiado, la capacidad que tuvo de reinventarse completamente es tan brutal que sentí que tenía que escribirlo'}","{'users': [{'id': '1481573667695906816', 'name': 'Juancho', 'username': 'juxnchisss'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '163916364', 'edit_history_tweet_ids': ['1603183417008398336'], 'geo': {}, 'id': '1603183417008398336', 'text': '@fifaworldcup_es Chalaca.. !!!'}","{'users': [{'id': '163916364', 'name': 'claudio munoz', 'username': 'clamupe'}, {'id': '142296675', 'name': 'Copa Mundial FIFA 🏆', 'username': 'fifaworldcup_es'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '2676514586', 'edit_history_tweet_ids': ['1603183414638968832'], 'geo': {}, 'id': '1603183414638968832', 'text': '@andrea_sn5 @WaykaPeru @congresoperu @DinaErcilia @cnddhh @Aprodeh Pero es que somos tontos o que?\nPor que se ha originado eso? esa es la pregunta que deberías hacerte.'}","{'users': [{'id': '2676514586', 'name': 'José', 'username': 'Josewil3'}, {'id': '1869173094', 'name': 'Andrea', 'username': 'andrea_sn5'}, {'id': '2180222485', 'name': '🇵🇪 Wayka📢', 'username': 'WaykaPeru'}, {'id': '78889373', 'name': 'Congreso del Perú 🇵🇪', 'username': 'congresoperu'}, {'id': '745743505', 'name': 'Dina Boluarte Z.', 'username': 'DinaErcilia'}, {'id': '68487390', 'name': 'CNDDHH 🇵🇪', 'username': 'cnddhh'}, {'id': '37732010', 'name': 'Asociación Pro Derechos Humanos - APRODEH', 'username': 'Aprodeh'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1215827958381846529', 'edit_history_tweet_ids': ['1603183415452307456'], 'geo': {}, 'id': '1603183415452307456', 'text': 'es un tierno loco yo no me puedo hacer la otra asi😮\u200d💨'}","{'users': [{'id': '1215827958381846529', 'name': 'Denise🍒', 'username': 'rulosss___'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '913123879257804805', 'edit_history_tweet_ids': ['1603183414617702400'], 'geo': {}, 'id': '1603183414617702400', 'text': 'RT @fuedicho: “Vivir sin leer es peligroso, porque obliga a conformarse con la vida”. \nMichel Houellebecq\n#Fuedicho https://t.co/o6PJ1OUy33'}","{'users': [{'id': '913123879257804805', 'name': 'William Eduardo Pach', 'username': 'William07035454'}, {'id': '938495509026746368', 'name': 'Fuedicho', 'username': 'fuedicho'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1109514430461542401', 'edit_history_tweet_ids': ['1603183416983552000'], 'geo': {}, 'id': '1603183416983552000', 'text': 'RT @SrLuchoPortuano: ¿Cuál es el videojuego más adictivo que han jugado? https://t.co/01VO23mS1U'}","{'users': [{'id': '1109514430461542401', 'name': '🌳', 'username': 'MinushQlo'}, {'id': '1304527359953993728', 'name': 'Lucho Portuano❄️', 'username': 'SrLuchoPortuano'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
