data,includes,matching_rules
"{'author_id': '1069740938', 'edit_history_tweet_ids': ['1606254730380038146'], 'geo': {}, 'id': '1606254730380038146', 'text': '@PolarAewVzla @Falbak_ Si no aparecen dichos titulos en tu perfil es por que no es cierto, yo si tengo titulos y no de cualquier carrera, tranquilo, aún puedes culminar tus estudios para que no escribas mal en español.'}","{'users': [{'id': '1069740938', 'name': 'Di+', 'username': 'profdimas30'}, {'id': '1460947282577219584', 'name': 'PolarIceAEWVzla', 'username': 'PolarAewVzla'}, {'id': '4850867548', 'name': 'Falbak', 'username': 'Falbak_'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '963531484824031233', 'edit_history_tweet_ids': ['1606254732065968128'], 'geo': {}, 'id': '1606254732065968128', 'text': 'RT @Unidosxmexi: No es periodista, menos analista político.\nEs un prostituto del viejo régimen. https://t.co/bLgiYXkfSJ'}","{'users': [{'id': '963531484824031233', 'name': 'mateo juventino carranza', 'username': 'matcar19581'}, {'id': '1223375539429310465', 'name': 'AMLITIO', 'username': 'Unidosxmexi'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '801113779', 'edit_history_tweet_ids': ['1606254730686001152'], 'geo': {}, 'id': '1606254730686001152', 'text': 'RT @almacortes20: Apoyo esta posicion q es la dignidad y el Derecho de autodeterminacion de los Estados. El Pueblo Panameño Le Exige Respet…'}","{'users': [{'id': '801113779', 'name': 'Aris Avila', 'username': 'Avilaris'}, {'id': '406629147', 'name': 'Alma Cortés', 'username': 'almacortes20'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '2970601569', 'edit_history_tweet_ids': ['1606254732435021825'], 'geo': {}, 'id': '1606254732435021825', 'text': 'RT @Virgini71001209: @IgualdadGob Es lo que pasa en millones de hogares en este país'}","{'users': [{'id': '2970601569', 'name': 'LUIS JAvier 🏳\u200d🌈🔺💜', 'username': 'lsierrap01'}, {'id': '914737817074438144', 'name': '💚💜💚', 'username': 'Virgini71001209'}, {'id': '1021401178272395264', 'name': 'Ministerio de Igualdad', 'username': 'IgualdadGob'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '95069305', 'edit_history_tweet_ids': ['1606254731067654144'], 'geo': {}, 'id': '1606254731067654144', 'text': '@telepizza_es @KOI @IkerLlama10'}","{'users': [{'id': '95069305', 'name': 'Agur 🔥🦁', 'username': 'Agurtzane94'}, {'id': '17999586', 'name': 'Telepizza España 🍕', 'username': 'telepizza_es'}, {'id': '1458399612226650114', 'name': 'KOI', 'username': 'KOI'}, {'id': '844255802584109056', 'name': 'Iker Llama', 'username': 'IkerLlama10'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1460072860207267840', 'edit_history_tweet_ids': ['1606254731420131331'], 'geo': {}, 'id': '1606254731420131331', 'text': 'RT @luis_gj: Ya llegaron a decir que las acusaciones al plagio de Yasmín Esquivel son violencia de género. \n\nNo, corazones.\nEl plagio no ti…'}","{'users': [{'id': '1460072860207267840', 'name': 'Aria Mondragón', 'username': 'AriaMondragon'}, {'id': '93290595', 'name': 'Luis González', 'username': 'luis_gj'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1162557422340382722', 'edit_history_tweet_ids': ['1606254730300166144'], 'geo': {}, 'id': '1606254730300166144', 'text': 'RT @WolffWaldo: Estamos frente a la violación más grande del Estado de Derecho que vivimos los argentinos desde la vuelta de la democracia.…'}","{'users': [{'id': '1162557422340382722', 'name': 'Soy del 41 % - Roberto', 'username': 'rodo60625633'}, {'id': '1864835456', 'name': 'WW', 'username': 'WolffWaldo'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1265594032572506112', 'edit_history_tweet_ids': ['1606254729784430593'], 'geo': {}, 'id': '1606254729784430593', 'text': '@elmundoes Esto es ya como una dictadura, la CNMV ahora actúa al servicio de Sánchez'}","{'users': [{'id': '1265594032572506112', 'name': 'Genius', 'username': 'Greatmind_2020'}, {'id': '14436030', 'name': 'EL MUNDO', 'username': 'elmundoes'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '1420518179852402688', 'edit_history_tweet_ids': ['1606254730912505857'], 'geo': {}, 'id': '1606254730912505857', 'text': '@Laury87223876 Buenos días Laury 💜😘'}","{'users': [{'id': '1420518179852402688', 'name': '✵Lamaritere68✵', 'username': 'Lamaritere68'}, {'id': '1134508863871471616', 'name': 'Laury 💜✵', 'username': 'Laury87223876'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
"{'author_id': '2556950148', 'edit_history_tweet_ids': ['1606254729905901568'], 'geo': {}, 'id': '1606254729905901568', 'text': '@1905xixon_rsg no si es que ha terminado siendo hilo contando anuncios porque estoy flipando'}","{'users': [{'id': '2556950148', 'name': 'noelia 🦥', 'username': 'noeliavmc'}, {'id': '1502971206949126145', 'name': 'RSG_1905', 'username': '1905xixon_rsg'}]}","[{'id': '1603158427479539712', 'tag': 'lang'}]"
